id,title,year,venue,doi,ta_decision,ta_reason,ft_decision,ft_reason,round,reviewer
1,Network intrusion detection system: A systematic study of machine learning and deep learning approaches,2020.0,Transactions on Emerging Telecommunications Technologies,10.1002/ett.4150,,,,,openalex,
2,"Machine Learning: Algorithms, Real-World Applications and Research Directions",2021.0,SN Computer Science,10.1007/s42979-021-00592-x,,,,,openalex,
3,Classification Based on Decision Tree Algorithm for Machine Learning,2021.0,Journal of Applied Science and Technology Trends,10.38094/jastt20165,,,,,openalex,
4,Machine Learning for Anomaly Detection: A Systematic Review,2021.0,IEEE Access,10.1109/access.2021.3083060,,,,,openalex,
5,Performance Analysis of Machine Learning Algorithms in Intrusion Detection System: A Review,2020.0,Procedia Computer Science,10.1016/j.procs.2020.04.133,,,,,openalex,
6,An Explainable Machine Learning Framework for Intrusion Detection Systems,2020.0,IEEE Access,10.1109/access.2020.2988359,,,,,openalex,
7,Benchmarking of Machine Learning for Anomaly Based Intrusion Detection Systems in the CICIDS2017 Dataset,2021.0,IEEE Access,10.1109/access.2021.3056614,,,,,openalex,
8,Adversarial Machine Learning for Network Intrusion Detection Systems: A Comprehensive Survey,2023.0,IEEE Communications Surveys & Tutorials,10.1109/comst.2022.3233793,,,,,openalex,
9,NetFlow Datasets for Machine Learning-Based Network Intrusion Detection Systems,2021.0,"Lecture notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",10.1007/978-3-030-72802-1_9,,,,,openalex,
10,Machine learning methods for cyber security intrusion detection: Datasets and comparative study,2021.0,Computer Networks,10.1016/j.comnet.2021.107840,,,,,openalex,
11,Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next,2022.0,Journal of Scientific Computing,10.1007/s10915-022-01939-z,,,,,openalex,
12,Machine Learning Applications for Precision Agriculture: A Comprehensive Review,2020.0,IEEE Access,10.1109/access.2020.3048415,,,,,openalex,
13,Building an efficient intrusion detection system based on feature selection and ensemble classifier,2020.0,Computer Networks,10.1016/j.comnet.2020.107247,,,,,openalex,
14,IntruDTree: A Machine Learning Based Cyber Security Intrusion Detection Model,2020.0,Symmetry,10.3390/sym12050754,,,,,openalex,
15,A machine learning-based intrusion detection for detecting internet of things network attacks,2022.0,Alexandria Engineering Journal,10.1016/j.aej.2022.02.063,,,,,openalex,
16,TON_IoT Telemetry Dataset: A New Generation Dataset of IoT and IIoT for Data-Driven Intrusion Detection Systems,2020.0,IEEE Access,10.1109/access.2020.3022862,,,,,openalex,
17,Intrusion Detection of Imbalanced Network Traffic Based on Machine Learning and Deep Learning,2020.0,IEEE Access,10.1109/access.2020.3048198,,,,,openalex,
18,"Federated Learning for intrusion detection system: Concepts, challenges and future directions",2022.0,Computer Communications,10.1016/j.comcom.2022.09.012,,,,,openalex,
19,Federated-Learning-Based Anomaly Detection for IoT Security Attacks,2021.0,IEEE Internet of Things Journal,10.1109/jiot.2021.3077803,,,,,openalex,
20,Multi-Stage Optimized Machine Learning Framework for Network Intrusion Detection,2020.0,IEEE Transactions on Network and Service Management,10.1109/tnsm.2020.3014929,,,,,openalex,
21,Enhancing intrusion detection: a hybrid machine and deep learning approach,2024.0,Journal of Cloud Computing Advances Systems and Applications,10.1186/s13677-024-00685-x,,,,,openalex,
22,Deep learning methods in network intrusion detection: A survey and an objective comparison,2020.0,Journal of Network and Computer Applications,10.1016/j.jnca.2020.102767,,,,,openalex,
23,Anomaly-based intrusion detection system for IoT networks through deep learning model,2022.0,Computers & Electrical Engineering,10.1016/j.compeleceng.2022.107810,,,,,openalex,
24,BAT: Deep Learning Methods on Network Intrusion Detection Using NSL-KDD Dataset,2020.0,IEEE Access,10.1109/access.2020.2972627,,,,,openalex,
25,"Deep Learning: A Comprehensive Overview on Techniques, Taxonomy, Applications and Research Directions",2021.0,SN Computer Science,10.1007/s42979-021-00815-1,,,,,openalex,
26,Deep Learning-Based Intrusion Detection Systems: A Systematic Review,2021.0,IEEE Access,10.1109/access.2021.3097247,,,,,openalex,
27,A Survey on Machine Learning Techniques for Cyber Security in the Last Decade,2020.0,IEEE Access,10.1109/access.2020.3041951,,,,,openalex,
28,"A Review of Intrusion Detection Systems Using Machine and Deep Learning in Internet of Things: Challenges, Solutions and Future Directions",2020.0,Electronics,10.3390/electronics9071177,,,,,openalex,
29,An effective feature engineering for DNN using hybrid PCA-GWO for intrusion detection in IoMT architecture,2020.0,Computer Communications,10.1016/j.comcom.2020.05.048,,,,,openalex,
30,Performance Analysis of Intrusion Detection Systems Using a Feature Selection Method on the UNSW-NB15 Dataset,2020.0,Journal Of Big Data,10.1186/s40537-020-00379-6,,,,,openalex,
31,How Machine Learning is Revolutionizing Intrusion Detection,2020.0,Designing a Machine Learning Intrusion Detection System,10.1007/978-1-4842-6591-8_2,,,,,crossref,
32,Machine Learning for Intrusion Detection,2025.0,Deep Learning for Intrusion Detection,10.1002/9781394285198.ch2,,,,,crossref,
33,Intrusion Detection Systems based on Machine Learning,2021.0,"Proceedings of the 2nd International Conference on Big Data, Modelling and Machine Learning",10.5220/0010734300003101,,,,,crossref,
34,Machine Learning for Intrusion Detection,2026.0,CyberSentinel+,10.1201/9781003660361-5,,,,,crossref,
35,Trustable machine learning for intrusion detection systems,,,10.70675/e2fe5f32z19e5z41caz9b55z7b33b874c3c0,,,,,crossref,
