id,title,authors,year,venue,doi,thematic_class,study_type,contribution,key_findings,rq_mapping,limitations,venue_tier,R,A,T,C,quality_tier
1,Network intrusion detection system: A systematic study of machine learning and deep learning approaches,Zeeshan Ahmad; Adnan Shahid Khan; Cheah Wai Shiang; Johari Abdullah; Farhan Ahmad,2020,Transactions on Emerging Telecommunications Technologies,10.1002/ett.4150,Survey: ML/DL taxonomy for NIDS,Survey,Taxonomy of ML/DL techniques for NIDS with a review of strengths/limitations of recent approaches,"Synthesizes trends in ML/DL-based NIDS across methodology, evaluation metrics, and dataset choice; no new experimental results",RQ1;RQ2,"Survey scope, not an experimental study -- not evaluated on rigor/artifact dimensions with primary-study standards",T3,Some,Some,Some,Low,B
4,Machine Learning for Anomaly Detection: A Systematic Review,Ali Bou Nassif; Manar Abu Talib; Qassim Nasir; Fatima Dakalbab,2021,IEEE Access,10.1109/access.2021.3083060,Survey: ML for anomaly detection across domains,Survey,"Broad SLR of ML models for anomaly detection covering applications, techniques, metrics, and datasets",Reviews 290 articles (2000-2020); identifies 43 application areas and 29 distinct ML models; unsupervised methods most commonly adopted,RQ1;RQ2,Broad anomaly-detection scope beyond network intrusion specifically; dataset/metric comparability not harmonized across surveyed studies,T3,Some,Some,Some,Low,B
5,Performance Analysis of Machine Learning Algorithms in Intrusion Detection System: A Review,T. Saranya; S. Sridevi; C. Deisy; Tran Duc Chung; M.K.A. Ahamed Khan,2020,Procedia Computer Science,10.1016/j.procs.2020.04.133,Classical ML benchmarking for IDS,Empirical (comparative),"Comparative evaluation of LDA, CART, and Random Forest for intrusion classification",Reports comparative efficiency of LDA/CART/Random Forest classifiers on the KDD-CUP dataset,RQ2;RQ3,Relies on the outdated KDD-CUP dataset; no adversarial/evasion threat model considered,T3,Some,High,High,High,C
6,An Explainable Machine Learning Framework for Intrusion Detection Systems,Maonan Wang; Kangfeng Zheng; Yanqing Yang; Xiujuan Wang,2020,IEEE Access,10.1109/access.2020.2988359,Explainable AI (XAI) for IDS,Empirical,"First reported use of SHAP for IDS explanation, combining local and global explanations across one-vs-all and multiclass classifiers",SHAP-based framework improves interpretability of IDS decisions on NSL-KDD; compares one-vs-all vs. multiclass classifier explanations,RQ1;RQ4,Evaluated on a single dataset (NSL-KDD); no adversarial-evasion threat model,T3,Low,Some,Some,Some,B
7,Benchmarking of Machine Learning for Anomaly Based Intrusion Detection Systems in the CICIDS2017 Dataset,Ziadoon Kamil Maseer; Robiah Yusof; Nazrulazhar Bahaman; Salama A. Mostafa; Cik Feresa Mohd Foozy,2021,IEEE Access,10.1109/access.2021.3056614,Benchmark/comparative ML-IDS study,Empirical (benchmark),Systematic benchmark of 31 ML-AIDS models on CICIDS2017 with training/testing time as an efficiency dimension,"k-NN, DT, and NB-based AIDS models obtain the best web-attack detection results among the 31 models compared; reports both accuracy and time-complexity metrics",RQ2;RQ3,"Single dataset (CICIDS2017, itself class-imbalanced); no adversarial robustness evaluation",T3,Low,Some,Some,Low,A
31,How Machine Learning is Revolutionizing Intrusion Detection,Emmanuel Tsukerman,2020,Designing a Machine Learning Intrusion Detection System,10.1007/978-1-4842-6591-8_2,Practitioner-oriented ML-IDS overview,Book chapter,Practitioner-facing overview of how ML techniques are applied to intrusion detection design,Not a primary empirical study; frames motivations and design considerations for ML-based IDS rather than reporting new results,RQ1,"No experimental evaluation, no stated artifact or dataset; engaged as background/context rather than primary evidence per README Stage 4 guidance",T3,High,High,High,Some,C
32,Machine Learning for Intrusion Detection,M.K. Divya,2025,Deep Learning for Intrusion Detection,10.1002/9781394285198.ch2,DL-for-IDS overview,Book chapter,Chapter-level introduction to applying deep learning methods to intrusion detection,Introductory/overview content; no abstract available at screening time to extract quantitative findings from,RQ1,No abstract/full-text metadata retrieved at screening time; full-text review needed to confirm scope and rigor,T3,High,High,Some,Some,C
33,Intrusion Detection Systems based on Machine Learning,Oumaima Chentoufi; Khalid Chougdali,2021,"Proceedings of the 2nd International Conference on Big Data, Modelling and Machine Learning",10.5220/0010734300003101,Classical ML-IDS evaluation,Empirical (conference),Evaluates machine learning classifiers for intrusion detection in a big-data/modelling conference setting,No abstract retrieved at screening time; full text confirms classifier-comparison scope (see extraction notes),RQ2,Conference-length paper; likely limited experimental scale relative to a journal-length study,T3,Some,Some,Some,Some,B
35,Trustable machine learning for intrusion detection systems,Robin Duraz,,,10.70675/e2fe5f32z19e5z41caz9b55z7b33b874c3c0,Trustworthy/explainable ML-IDS,Thesis,Proposes a CVSS-informed evaluation metric for IDS and studies decision-explainability and robustness to novel attacks,Develops a cybersecurity-aware evaluation metric based on CVSS scores; explores explainability and detection of previously unseen attack types,RQ3;RQ4,Single-author thesis; French-language full text; not peer-reviewed in the journal/conference sense,T3,Low,Some,Low,Low,A
36,Intrusion Detection using Machine Learning,Bhumika Malik; Nivedita Singh,2022,International Journal of Science and Research (IJSR),10.21275/mr22310165547,Classical ML-IDS evaluation,Empirical,Applies machine learning classifiers to intrusion detection,No abstract retrieved at screening time; full text needed to confirm specific algorithms/dataset used,RQ2,Venue does not enforce the same peer-review rigor as an indexed journal; full-text quality check needed before weighting findings heavily in synthesis,T3,High,High,High,Some,C
61,A Hybrid Deep Learning Anomaly Detection Framework for Intrusion Detection,Rahul Kale; Zhi Lu; Kar Wai Fok; Vrizlynn L. L. Thing,2022,arXiv,10.48550/arXiv.2212.00966,Hybrid unsupervised/semi-supervised/supervised DL for IDS,Empirical (preprint),"Three-stage framework combining K-means clustering, GANomaly, and CNN for intrusion detection","Evaluated across three benchmark datasets (NSL-KDD, CIC-IDS2018, TON_IoT); combines unsupervised, semi-supervised, and supervised stages to address limited labeled anomalous data",RQ1;RQ2;RQ3,"Preprint, not yet peer-reviewed; no adversarial-evasion evaluation reported in the abstract",T2,Low,Some,Some,Low,A
