id,title,year,venue,doi,ta_decision,ta_reason,ft_decision,ft_reason,round,reviewer
1,Network intrusion detection system: A systematic study of machine learning and deep learning approaches,2020.0,Transactions on Emerging Telecommunications Technologies,10.1002/ett.4150,,,,,openalex,
2,"Machine Learning: Algorithms, Real-World Applications and Research Directions",2021.0,SN Computer Science,10.1007/s42979-021-00592-x,,,,,openalex,
3,Classification Based on Decision Tree Algorithm for Machine Learning,2021.0,Journal of Applied Science and Technology Trends,10.38094/jastt20165,,,,,openalex,
4,Machine Learning for Anomaly Detection: A Systematic Review,2021.0,IEEE Access,10.1109/access.2021.3083060,,,,,openalex,
5,Performance Analysis of Machine Learning Algorithms in Intrusion Detection System: A Review,2020.0,Procedia Computer Science,10.1016/j.procs.2020.04.133,,,,,openalex,
6,An Explainable Machine Learning Framework for Intrusion Detection Systems,2020.0,IEEE Access,10.1109/access.2020.2988359,,,,,openalex,
7,Benchmarking of Machine Learning for Anomaly Based Intrusion Detection Systems in the CICIDS2017 Dataset,2021.0,IEEE Access,10.1109/access.2021.3056614,,,,,openalex,
31,How Machine Learning is Revolutionizing Intrusion Detection,2020.0,Designing a Machine Learning Intrusion Detection System,10.1007/978-1-4842-6591-8_2,,,,,crossref,
32,Machine Learning for Intrusion Detection,2025.0,Deep Learning for Intrusion Detection,10.1002/9781394285198.ch2,,,,,crossref,
33,Intrusion Detection Systems based on Machine Learning,2021.0,"Proceedings of the 2nd International Conference on Big Data, Modelling and Machine Learning",10.5220/0010734300003101,,,,,crossref,
34,Machine Learning for Intrusion Detection,2026.0,CyberSentinel+,10.1201/9781003660361-5,,,,,crossref,
35,Trustable machine learning for intrusion detection systems,,,10.70675/e2fe5f32z19e5z41caz9b55z7b33b874c3c0,,,,,crossref,
36,Intrusion Detection using Machine Learning,2022.0,International Journal of Science and Research (IJSR),10.21275/mr22310165547,,,,,crossref,
37,Evaluation of Machine Learning Method for Intrusion Detection System on Jubatus,2015.0,International Journal of Machine Learning and Computing,10.7763/ijmlc.2015.v5.497,,,,,crossref,
61,A Hybrid Deep Learning Anomaly Detection Framework for Intrusion Detection,2022.0,arXiv,10.48550/arXiv.2212.00966,,,,,arxiv,
62,Tree-based Intelligent Intrusion Detection System in Internet of Vehicles,2019.0,arXiv,10.48550/arXiv.1910.08635,,,,,arxiv,
63,Cyber Situation Awareness with Active Learning for Intrusion Detection,2019.0,arXiv,10.48550/arXiv.1912.12673,,,,,arxiv,
64,A Benchmark Study of Machine Learning Models for Online Fake News Detection,2019.0,arXiv,10.48550/arXiv.1905.04749,,,,,arxiv,
65,Performance Comparison of Intrusion Detection Systems and Application of Machine Learning to Snort System,2017.0,arXiv,10.48550/arXiv.1710.04843,,,,,arxiv,
66,Online Feature Ranking for Intrusion Detection Systems,2018.0,arXiv,10.48550/arXiv.1803.00530,,,,,arxiv,
67,LCCDE: A Decision-Based Ensemble Framework for Intrusion Detection in The Internet of Vehicles,2022.0,arXiv,10.48550/arXiv.2208.03399,,,,,arxiv,
